iter	Passed	Remaining
539	33162	66325
540	33217	66250
541	33285	66202
542	33343	66133
543	33399	66062
544	33456	65992
545	33512	65920
546	33572	65855
547	33629	65786
548	33701	65744
549	33791	65739
550	33846	65666
551	33917	65622
552	33975	65554
553	34036	65493
554	34098	65432
555	34156	65363
556	34212	65292
557	34271	65225
558	34341	65181
559	34406	65126
560	34462	65055
561	34520	64986
562	34573	64909
563	34642	64862
564	34705	64804
565	34773	64754
566	34853	64727
567	34917	64671
568	34975	64603
569	35044	64556
570	35102	64488
571	35160	64420
572	35219	64354
573	35276	64284
574	35343	64233
575	35408	64177
576	35462	64103
577	35530	64053
578	35587	63983
579	35651	63926
580	35728	63892
581	35782	63818
582	35840	63751
583	35897	63680
584	35956	63614
585	36027	63570
586	36083	63499
587	36152	63450
588	36211	63385
589	36274	63326
590	36330	63255
591	36387	63187
592	36446	63121
593	36504	63053
594	36565	62991
595	36635	62944
596	36693	62876
597	36749	62806
598	36821	62763
599	36892	62716
600	36950	62649
601	37004	62575
602	37060	62504
603	37128	62454
604	37191	62396
605	37246	62323
606	37315	62274
607	37370	62202
608	37429	62136
609	37484	62065
610	37564	62032
611	37630	61979
612	37690	61914
613	37748	61848
614	37815	61796
615	37871	61726
616	37930	61660
617	37987	61590
618	38046	61525
619	38105	61460
620	38168	61401
621	38232	61344
622	38297	61288
623	38356	61222
624	38415	61157
625	38469	61083
626	38534	61028
627	38591	60959
628	38648	60891
629	38712	60833
630	38771	60768
631	38827	60699
632	38887	60635
633	38943	60564
634	39000	60496
635	39066	60443
636	39126	60378
637	39196	60330
638	39263	60277
639	39324	60215
640	39386	60155
641	39456	60106
642	39515	60041
643	39570	59970
644	39624	59898
645	39702	59860
646	39763	59799
647	39821	59731
648	39874	59658
649	39929	59586
650	39983	59513
651	40039	59445
652	40094	59374
653	40163	59324
654	40218	59253
655	40275	59184
656	40331	59116
657	40386	59044
658	40440	58973
659	40495	58902
660	40558	58843
661	40615	58776
662	40675	58712
663	40741	58657
664	40802	58596
665	40863	58533
666	40925	58474
667	40989	58415
668	41050	58354
669	41108	58288
670	41169	58225
671	41240	58178
672	41304	58121
673	41362	58054
674	41429	58000
675	41487	57935
676	41548	57872
677	41609	57810
678	41662	57738
679	41724	57677
680	41781	57611
681	41835	57539
682	41896	57477
683	41953	57409
684	42008	57340
685	42064	57271
686	42132	57219
687	42189	57151
688	42245	57083
689	42309	57026
690	42371	56965
691	42434	56906
692	42489	56835
693	42545	56767
694	42600	56698
695	42658	56633
696	42723	56575
697	42788	56519
698	42844	56452
699	42906	56390
700	42973	56336
701	43030	56270
702	43086	56202
703	43145	56138
704	43212	56083
705	43270	56018
706	43336	55963
707	43396	55900
708	43464	55847
709	43520	55779
710	43579	55716
711	43642	55656
712	43705	55596
713	43766	55535
714	43827	55473
715	43886	55409
716	43945	55344
717	44010	55288
718	44070	55225
719	44145	55182
720	44203	55117
721	44271	55063
722	44334	55003
723	44402	54951
724	44458	54883
725	44529	54834
726	44589	54770
727	44656	54717
728	44718	54655
729	44777	54591
730	44849	54542
731	44908	54479
732	44975	54424
733	45041	54368
734	45099	54303
735	45163	54244
736	45226	54185
737	45294	54132
738	45389	54110
739	45445	54043
740	45505	53980
741	45574	53927
742	45630	53860
743	45687	53793
744	45742	53724
745	45803	53662
746	45872	53609
747	45931	53546
748	45989	53480
749	46048	53416
750	46114	53360
751	46180	53303
752	46246	53247
753	46305	53184
754	46362	53117
755	46433	53067
756	46501	53012
757	46560	52949
758	46621	52886
759	46677	52819
760	46733	52752
761	46805	52701
762	46862	52636
763	46925	52576
764	46982	52510
765	47041	52446
766	47099	52380
767	47156	52314
768	47214	52249
769	47270	52181
770	47334	52122
771	47404	52071
772	47460	52003
773	47516	51936
